               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.01557,           0.0047035,           0.0073503,             0.97175,             0.97188,             0.98158,             0.71951,            0.015309,           0.0027059,          1.8306e-05,            0.067702,          0.00032624,          0.00032624
                   1,            0.013983,           0.0031789,          0.00098792,             0.97809,             0.98947,              0.9822,             0.72972,            0.014365,           0.0024963,          1.2043e-05,            0.034693,          0.00065025,          0.00065025
                   2,            0.013251,           0.0027976,          0.00016141,             0.98776,             0.99474,             0.99328,             0.75123,            0.013936,           0.0021856,          4.2617e-05,            0.001674,          0.00096482,          0.00096482
                   3,            0.013406,           0.0025211,          0.00027432,             0.98752,             0.99474,             0.99042,              0.7673,            0.014078,           0.0023502,          4.6353e-05,          0.00095757,          0.00095757,          0.00095757
                   4,            0.012499,           0.0025127,          0.00022333,             0.99403,             0.99474,             0.99299,             0.76229,            0.012321,           0.0021877,            7.03e-05,          0.00095757,          0.00095757,          0.00095757
                   5,            0.012281,           0.0025611,          0.00062129,             0.99148,             0.99474,             0.99056,             0.75915,              0.0138,           0.0024228,          4.7519e-05,          0.00094343,          0.00094343,          0.00094343
                   6,            0.012565,           0.0025138,          0.00025007,              0.9965,             0.99474,             0.99087,             0.75673,             0.01337,           0.0023076,          0.00011028,          0.00092929,          0.00092929,          0.00092929
                   7,            0.012773,           0.0026377,          0.00023699,             0.99803,             0.99439,             0.99074,             0.75107,            0.012645,           0.0023078,          7.7472e-05,          0.00091514,          0.00091514,          0.00091514
                   8,            0.012334,           0.0024212,          0.00048633,              0.9971,             0.99474,             0.99136,             0.74041,            0.013663,           0.0022843,          9.6416e-05,            0.000901,            0.000901,            0.000901
                   9,            0.012049,           0.0023137,          0.00014727,             0.99707,             0.99274,             0.99091,             0.75755,              0.0142,           0.0023362,          8.4157e-05,          0.00088686,          0.00088686,          0.00088686
                  10,            0.012249,           0.0024545,          0.00032676,              0.9878,             0.99474,             0.99189,             0.75702,             0.01362,           0.0023204,          6.3767e-05,          0.00087271,          0.00087271,          0.00087271
                  11,            0.011822,           0.0023013,          0.00021756,             0.99675,             0.99474,             0.99247,             0.76042,             0.01374,            0.002179,          7.1712e-05,          0.00085857,          0.00085857,          0.00085857
                  12,            0.011751,           0.0023245,          0.00016254,             0.99724,             0.99474,             0.99211,             0.75116,            0.013207,           0.0022206,          7.4825e-05,          0.00084443,          0.00084443,          0.00084443
                  13,             0.01177,           0.0023109,           0.0001101,             0.99648,             0.99461,             0.99213,             0.75847,            0.012752,           0.0021643,          4.2434e-05,          0.00083029,          0.00083029,          0.00083029
                  14,            0.011497,           0.0021771,          0.00012405,             0.99591,             0.99474,             0.99349,             0.75963,            0.013234,           0.0021993,          8.5802e-05,          0.00081614,          0.00081614,          0.00081614
                  15,             0.01146,           0.0024096,          0.00014558,             0.99677,             0.99474,              0.9949,             0.75764,            0.012046,           0.0020294,          5.4593e-05,            0.000802,            0.000802,            0.000802
                  16,            0.011347,           0.0022194,          0.00017279,             0.99663,             0.99474,             0.99257,             0.76176,            0.012051,           0.0021959,          5.9457e-05,          0.00078786,          0.00078786,          0.00078786
                  17,            0.011707,           0.0022842,          0.00020439,             0.99543,             0.99474,             0.99365,             0.76272,            0.013912,           0.0021563,          5.7445e-05,          0.00077371,          0.00077371,          0.00077371
                  18,             0.01103,           0.0021892,          0.00013987,             0.99419,             0.99474,             0.99363,             0.75544,            0.013482,           0.0021729,          6.2494e-05,          0.00075957,          0.00075957,          0.00075957
                  19,            0.011288,           0.0021527,          0.00012143,             0.99565,             0.99474,             0.99268,             0.77267,             0.01328,           0.0022122,          5.8703e-05,          0.00074543,          0.00074543,          0.00074543
                  20,            0.010969,           0.0022315,          0.00012248,             0.99755,             0.99474,              0.9918,             0.75706,            0.013746,           0.0022563,          4.6923e-05,          0.00073129,          0.00073129,          0.00073129
                  21,            0.011433,           0.0021887,          0.00015216,             0.99645,             0.99474,             0.99217,             0.74797,            0.012762,           0.0022941,          4.6668e-05,          0.00071714,          0.00071714,          0.00071714
                  22,            0.010923,           0.0021111,          0.00011197,             0.99437,             0.99474,             0.99142,             0.74658,            0.013628,           0.0023974,          6.3009e-05,            0.000703,            0.000703,            0.000703
                  23,            0.010914,           0.0021812,          0.00011379,             0.99689,             0.99474,             0.99275,             0.76064,            0.013406,           0.0022126,          4.9915e-05,          0.00068886,          0.00068886,          0.00068886
                  24,            0.011062,           0.0020845,          0.00024766,             0.99343,             0.99474,             0.99291,             0.76556,            0.012751,           0.0023063,          4.5791e-05,          0.00067471,          0.00067471,          0.00067471
                  25,            0.011117,           0.0019951,          0.00034382,             0.99679,             0.99474,             0.99396,             0.75784,             0.01271,           0.0022269,           2.699e-05,          0.00066057,          0.00066057,          0.00066057
                  26,            0.010699,           0.0020231,          0.00016282,             0.99812,             0.99474,             0.99173,             0.76084,            0.012298,             0.00224,          3.2716e-05,          0.00064643,          0.00064643,          0.00064643
                  27,            0.011087,           0.0021415,          0.00021212,             0.99801,             0.99474,             0.99092,             0.75299,            0.012857,           0.0022636,          3.4301e-05,          0.00063229,          0.00063229,          0.00063229
                  28,            0.010407,           0.0019685,          9.6889e-05,              0.9979,             0.99474,             0.99132,             0.74973,            0.013676,           0.0022208,          3.2141e-05,          0.00061814,          0.00061814,          0.00061814
                  29,             0.01101,           0.0021226,           0.0001098,             0.99658,             0.99474,             0.99155,             0.75599,            0.012856,           0.0022308,          3.6318e-05,            0.000604,            0.000604,            0.000604
                  30,            0.010868,           0.0020155,          0.00014893,             0.99191,             0.99474,              0.9918,             0.77223,            0.013667,           0.0023803,          3.6561e-05,          0.00058986,          0.00058986,          0.00058986
                  31,            0.010475,           0.0019158,          0.00011744,             0.99521,             0.99474,             0.99325,             0.76164,            0.013335,           0.0022641,          4.3399e-05,          0.00057571,          0.00057571,          0.00057571
                  32,            0.010265,           0.0018562,          7.6696e-05,             0.99564,             0.99474,             0.99403,             0.76673,            0.012662,           0.0021814,          3.2318e-05,          0.00056157,          0.00056157,          0.00056157
                  33,            0.010322,           0.0019747,          7.5906e-05,              0.9984,             0.99474,             0.99448,             0.74837,            0.013408,           0.0021714,          2.2036e-05,          0.00054743,          0.00054743,          0.00054743
                  34,            0.010605,           0.0020068,          0.00011306,             0.99704,             0.99474,             0.99424,             0.76733,            0.012778,           0.0022101,          1.8617e-05,          0.00053329,          0.00053329,          0.00053329
                  35,            0.010092,           0.0018783,          0.00013838,              0.9976,             0.99474,             0.99299,             0.76247,            0.011799,           0.0022204,          1.9873e-05,          0.00051914,          0.00051914,          0.00051914
                  36,             0.01043,           0.0021529,          0.00010113,              0.9966,             0.99054,              0.9926,             0.76682,            0.012121,           0.0023223,          1.6777e-05,            0.000505,            0.000505,            0.000505
                  37,            0.010353,           0.0020533,          0.00010469,             0.99598,             0.99371,             0.99118,             0.77459,            0.012241,           0.0023146,          1.8548e-05,          0.00049086,          0.00049086,          0.00049086
                  38,            0.010698,           0.0020004,          6.9941e-05,             0.99788,             0.99474,             0.99276,             0.76874,            0.012148,           0.0021998,          1.5936e-05,          0.00047671,          0.00047671,          0.00047671
                  39,             0.01036,           0.0018682,          0.00021092,             0.99679,             0.99474,             0.99315,             0.77142,            0.012523,           0.0023057,          1.6094e-05,          0.00046257,          0.00046257,          0.00046257
                  40,             0.01032,           0.0021083,          8.2053e-05,             0.99757,             0.99474,             0.99286,             0.76596,            0.012713,           0.0022456,          1.4644e-05,          0.00044843,          0.00044843,          0.00044843
                  41,            0.010159,           0.0020025,          0.00023156,             0.99639,             0.99474,             0.99365,             0.75996,            0.012175,           0.0022569,          1.9291e-05,          0.00043429,          0.00043429,          0.00043429
                  42,            0.010043,           0.0018844,          7.9468e-05,             0.99419,             0.99474,             0.99389,             0.76126,            0.012216,           0.0023253,          1.1098e-05,          0.00042014,          0.00042014,          0.00042014
                  43,            0.010116,           0.0018445,          9.2735e-05,             0.99462,             0.99474,              0.9947,             0.75821,            0.012596,           0.0022917,          1.0806e-05,            0.000406,            0.000406,            0.000406
                  44,           0.0094796,           0.0018102,          6.0152e-05,             0.99528,             0.99474,             0.99352,             0.77419,            0.012269,           0.0022785,          1.2808e-05,          0.00039186,          0.00039186,          0.00039186
                  45,           0.0098587,           0.0019182,          0.00010372,             0.99541,             0.99474,             0.99475,             0.76305,            0.012443,           0.0022043,          1.1906e-05,          0.00037771,          0.00037771,          0.00037771
                  46,            0.010055,           0.0018485,          8.3757e-05,             0.99659,             0.99474,             0.99436,             0.75029,            0.013433,           0.0022501,          1.3602e-05,          0.00036357,          0.00036357,          0.00036357
                  47,            0.010058,           0.0018948,          0.00010781,             0.99788,             0.99474,             0.99413,             0.76497,            0.012759,           0.0022287,          1.1593e-05,          0.00034943,          0.00034943,          0.00034943
                  48,           0.0096615,           0.0018135,           8.665e-05,              0.9983,             0.99474,             0.99466,             0.76427,            0.012371,           0.0021413,          9.7185e-06,          0.00033529,          0.00033529,          0.00033529
                  49,           0.0097938,           0.0019225,          5.6505e-05,             0.99833,             0.99474,             0.99485,             0.76455,            0.012184,           0.0021314,          9.4503e-06,          0.00032114,          0.00032114,          0.00032114
                  50,           0.0098387,           0.0018856,          5.7979e-05,             0.99823,             0.99474,             0.99363,             0.76652,            0.012172,           0.0022321,            9.74e-06,            0.000307,            0.000307,            0.000307
                  51,           0.0096293,            0.001867,          9.4785e-05,             0.99825,             0.99474,              0.9947,             0.76643,             0.01277,           0.0022023,          8.8119e-06,          0.00029286,          0.00029286,          0.00029286
                  52,           0.0097339,           0.0018319,          5.6596e-05,             0.99741,             0.99474,             0.99461,              0.7618,            0.012853,           0.0021944,          8.3041e-06,          0.00027871,          0.00027871,          0.00027871
                  53,           0.0096062,           0.0018858,          4.5418e-05,             0.99668,             0.99474,             0.99386,             0.76712,            0.012764,           0.0022559,          7.8714e-06,          0.00026457,          0.00026457,          0.00026457
                  54,           0.0094516,           0.0018789,          0.00014297,             0.99488,             0.99351,             0.99304,             0.76884,            0.012279,           0.0023461,          8.1027e-06,          0.00025043,          0.00025043,          0.00025043
                  55,           0.0097735,           0.0018139,          4.4437e-05,             0.99791,             0.99474,             0.99335,             0.77229,            0.012232,           0.0022429,          7.5424e-06,          0.00023629,          0.00023629,          0.00023629
                  56,           0.0094873,           0.0019541,          9.8144e-05,             0.99738,             0.99474,             0.99335,             0.77172,             0.01226,           0.0022716,          6.9594e-06,          0.00022214,          0.00022214,          0.00022214
                  57,           0.0094195,           0.0017992,          4.8985e-05,             0.99764,             0.99474,             0.99461,             0.77573,             0.01359,           0.0021612,          6.1792e-06,            0.000208,            0.000208,            0.000208
                  58,           0.0097909,           0.0018392,           5.121e-05,             0.99728,             0.99474,              0.9936,             0.78005,            0.012788,           0.0022184,          5.9605e-06,          0.00019386,          0.00019386,          0.00019386
                  59,           0.0094728,           0.0016554,          4.5831e-05,             0.99537,             0.99376,             0.99303,             0.78047,            0.012613,           0.0022907,           5.855e-06,          0.00017971,          0.00017971,          0.00017971
                  60,           0.0097239,           0.0018364,          4.3647e-05,             0.99655,             0.99472,             0.99299,             0.77945,            0.012811,           0.0022589,          5.8979e-06,          0.00016557,          0.00016557,          0.00016557
                  61,           0.0093351,           0.0017964,          0.00016555,             0.99683,             0.99474,             0.99328,             0.78196,            0.012769,           0.0022607,           5.753e-06,          0.00015143,          0.00015143,          0.00015143
                  62,           0.0092622,           0.0017873,          5.8089e-05,             0.99741,             0.99474,             0.99321,             0.76631,            0.013372,           0.0022728,          5.7054e-06,          0.00013729,          0.00013729,          0.00013729
                  63,           0.0092687,           0.0019327,          0.00011837,             0.99735,             0.99474,             0.99321,             0.77305,            0.013526,            0.002307,          5.8973e-06,          0.00012314,          0.00012314,          0.00012314
                  64,           0.0093913,           0.0017599,          4.9716e-05,              0.9973,             0.99474,             0.99332,             0.77007,            0.013296,           0.0022878,          5.7143e-06,            0.000109,            0.000109,            0.000109
                  65,           0.0093041,           0.0017535,          5.8382e-05,             0.99756,             0.99474,             0.99304,             0.77232,             0.01321,           0.0022914,          5.7721e-06,          9.4857e-05,          9.4857e-05,          9.4857e-05
                  66,           0.0093766,           0.0019249,          7.9015e-05,             0.99728,             0.99474,              0.9931,             0.77636,            0.013172,           0.0022879,          5.6994e-06,          8.0714e-05,          8.0714e-05,          8.0714e-05
                  67,           0.0095254,           0.0018881,          8.1594e-05,             0.99736,             0.99474,              0.9933,              0.7796,             0.01284,           0.0022534,          5.5271e-06,          6.6571e-05,          6.6571e-05,          6.6571e-05
                  68,           0.0092736,           0.0017889,          4.8866e-05,             0.99729,             0.99474,             0.99374,             0.77518,            0.013165,           0.0022389,          5.4592e-06,          5.2429e-05,          5.2429e-05,          5.2429e-05
                  69,           0.0090533,           0.0018164,          4.7297e-05,             0.99695,             0.99474,             0.99363,             0.77963,             0.01285,           0.0022582,          5.4592e-06,          3.8286e-05,          3.8286e-05,          3.8286e-05
